Year,date_progress,State,STATEFP,Progress
2018,11/03/2018,ARKANSAS,5,0
2018,11/03/2018,MISSISSIPPI,28,0
2018,18/03/2018,ARKANSAS,5,0
2018,18/03/2018,LOUISIANA,22,0
2018,18/03/2018,MISSISSIPPI,28,0
2018,25/03/2018,ARKANSAS,5,0
2018,25/03/2018,LOUISIANA,22,0
2018,25/03/2018,MISSISSIPPI,28,2
2018,01/04/2018,ARKANSAS,5,2
2018,01/04/2018,LOUISIANA,22,5
2018,01/04/2018,MISSISSIPPI,28,5
2018,08/04/2018,ARKANSAS,5,5
2018,08/04/2018,LOUISIANA,22,9
2018,08/04/2018,MISSISSIPPI,28,7
2018,15/04/2018,ARKANSAS,5,10
2018,15/04/2018,LOUISIANA,22,16
2018,15/04/2018,MISSISSIPPI,28,18
2018,15/04/2018,TEXAS,48,12
2018,22/04/2018,ARKANSAS,5,21
2018,22/04/2018,ILLINOIS,17,0
2018,22/04/2018,INDIANA,18,0
2018,22/04/2018,IOWA,19,0
2018,22/04/2018,KANSAS,20,0
2018,22/04/2018,KENTUCKY,21,0
2018,22/04/2018,LOUISIANA,22,26
2018,22/04/2018,MICHIGAN,26,0
2018,22/04/2018,MINNESOTA,27,0
2018,22/04/2018,MISSISSIPPI,28,30
2018,22/04/2018,MISSOURI,29,1
2018,22/04/2018,NEBRASKA,31,1
2018,22/04/2018,NEW JERSEY,34,0
2018,22/04/2018,NORTH CAROLINA,37,1
2018,22/04/2018,NORTH DAKOTA,38,0
2018,22/04/2018,OHIO,39,0
2018,22/04/2018,OKLAHOMA,40,0
2018,22/04/2018,SOUTH DAKOTA,46,0
2018,22/04/2018,TENNESSEE,47,1
2018,22/04/2018,TEXAS,48,26
2018,22/04/2018,WISCONSIN,55,0
2018,29/04/2018,ALABAMA,1,1
2018,29/04/2018,ARKANSAS,5,26
2018,29/04/2018,GEORGIA,13,4
2018,29/04/2018,ILLINOIS,17,7
2018,29/04/2018,INDIANA,18,3
2018,29/04/2018,IOWA,19,3
2018,29/04/2018,KANSAS,20,2
2018,29/04/2018,KENTUCKY,21,1
2018,29/04/2018,LOUISIANA,22,40
2018,29/04/2018,MICHIGAN,26,0
2018,29/04/2018,MINNESOTA,27,0
2018,29/04/2018,MISSISSIPPI,28,35
2018,29/04/2018,MISSOURI,29,5
2018,29/04/2018,NEBRASKA,31,6
2018,29/04/2018,NEW JERSEY,34,0
2018,29/04/2018,NORTH CAROLINA,37,4
2018,29/04/2018,NORTH DAKOTA,38,0
2018,29/04/2018,OHIO,39,1
2018,29/04/2018,OKLAHOMA,40,5
2018,29/04/2018,SOUTH CAROLINA,45,0
2018,29/04/2018,SOUTH DAKOTA,46,0
2018,29/04/2018,TENNESSEE,47,2
2018,29/04/2018,TEXAS,48,42
2018,29/04/2018,VIRGINIA,51,2
2018,29/04/2018,WEST VIRGINIA,54,2
2018,29/04/2018,WISCONSIN,55,1
2018,06/05/2018,ALABAMA,1,15
2018,06/05/2018,ARKANSAS,5,40
2018,06/05/2018,DELAWARE,10,7
2018,06/05/2018,GEORGIA,13,11
2018,06/05/2018,ILLINOIS,17,29
2018,06/05/2018,INDIANA,18,23
2018,06/05/2018,IOWA,19,12
2018,06/05/2018,KANSAS,20,8
2018,06/05/2018,KENTUCKY,21,6
2018,06/05/2018,LOUISIANA,22,64
2018,06/05/2018,MARYLAND,24,1
2018,06/05/2018,MICHIGAN,26,6
2018,06/05/2018,MINNESOTA,27,1
2018,06/05/2018,MISSISSIPPI,28,53
2018,06/05/2018,MISSOURI,29,19
2018,06/05/2018,NEBRASKA,31,16
2018,06/05/2018,NEW JERSEY,34,2
2018,06/05/2018,NORTH CAROLINA,37,13
2018,06/05/2018,NORTH DAKOTA,38,1
2018,06/05/2018,OHIO,39,8
2018,06/05/2018,OKLAHOMA,40,13
2018,06/05/2018,PENNSYLVANIA,42,3
2018,06/05/2018,SOUTH CAROLINA,45,4
2018,06/05/2018,SOUTH DAKOTA,46,1
2018,06/05/2018,TENNESSEE,47,7
2018,06/05/2018,TEXAS,48,52
2018,06/05/2018,VIRGINIA,51,9
2018,06/05/2018,WEST VIRGINIA,54,5
2018,06/05/2018,WISCONSIN,55,5
2018,13/05/2018,ALABAMA,1,33
2018,13/05/2018,ARKANSAS,5,62
2018,13/05/2018,DELAWARE,10,22
2018,13/05/2018,GEORGIA,13,20
2018,13/05/2018,ILLINOIS,17,66
2018,13/05/2018,INDIANA,18,53
2018,13/05/2018,IOWA,19,33
2018,13/05/2018,KANSAS,20,31
2018,13/05/2018,KENTUCKY,21,15
2018,13/05/2018,LOUISIANA,22,88
2018,13/05/2018,MARYLAND,24,10
2018,13/05/2018,MICHIGAN,26,18
2018,13/05/2018,MINNESOTA,27,11
2018,13/05/2018,MISSISSIPPI,28,72
2018,13/05/2018,MISSOURI,29,42
2018,13/05/2018,NEBRASKA,31,41
2018,13/05/2018,NEW YORK,36,5
2018,13/05/2018,NORTH CAROLINA,37,24
2018,13/05/2018,NORTH DAKOTA,38,12
2018,13/05/2018,OHIO,39,31
2018,13/05/2018,OKLAHOMA,40,27
2018,13/05/2018,PENNSYLVANIA,42,17
2018,13/05/2018,SOUTH CAROLINA,45,10
2018,13/05/2018,SOUTH DAKOTA,46,4
2018,13/05/2018,TENNESSEE,47,26
2018,13/05/2018,TEXAS,48,64
2018,13/05/2018,VIRGINIA,51,17
2018,13/05/2018,WEST VIRGINIA,54,14
2018,13/05/2018,WISCONSIN,55,13
2018,20/05/2018,ALABAMA,1,43
2018,20/05/2018,ARKANSAS,5,81
2018,20/05/2018,DELAWARE,10,23
2018,20/05/2018,GEORGIA,13,27
2018,20/05/2018,ILLINOIS,17,81
2018,20/05/2018,INDIANA,18,73
2018,20/05/2018,IOWA,19,58
2018,20/05/2018,KANSAS,20,50
2018,20/05/2018,KENTUCKY,21,35
2018,20/05/2018,LOUISIANA,22,93
2018,20/05/2018,MARYLAND,24,29
2018,20/05/2018,MICHIGAN,26,29
2018,20/05/2018,MINNESOTA,27,48
2018,20/05/2018,MISSISSIPPI,28,84
2018,20/05/2018,MISSOURI,29,61
2018,20/05/2018,NEBRASKA,31,68
2018,20/05/2018,NEW JERSEY,34,2
2018,20/05/2018,NEW YORK,36,11
2018,20/05/2018,NORTH CAROLINA,37,38
2018,20/05/2018,NORTH DAKOTA,38,33
2018,20/05/2018,OHIO,39,50
2018,20/05/2018,OKLAHOMA,40,36
2018,20/05/2018,PENNSYLVANIA,42,19
2018,20/05/2018,SOUTH CAROLINA,45,21
2018,20/05/2018,SOUTH DAKOTA,46,24
2018,20/05/2018,TENNESSEE,47,50
2018,20/05/2018,TEXAS,48,75
2018,20/05/2018,VIRGINIA,51,26
2018,20/05/2018,WEST VIRGINIA,54,17
2018,20/05/2018,WISCONSIN,55,33
2018,27/05/2018,ALABAMA,1,54
2018,27/05/2018,ARKANSAS,5,87
2018,27/05/2018,DELAWARE,10,33
2018,27/05/2018,GEORGIA,13,36
2018,27/05/2018,ILLINOIS,17,90
2018,27/05/2018,INDIANA,18,87
2018,27/05/2018,IOWA,19,81
2018,27/05/2018,KANSAS,20,65
2018,27/05/2018,KENTUCKY,21,56
2018,27/05/2018,LOUISIANA,22,96
2018,27/05/2018,MARYLAND,24,32
2018,27/05/2018,MICHIGAN,26,45
2018,27/05/2018,MINNESOTA,27,80
2018,27/05/2018,MISSISSIPPI,28,89
2018,27/05/2018,MISSOURI,29,77
2018,27/05/2018,NEBRASKA,31,87
2018,27/05/2018,NEW JERSEY,34,22
2018,27/05/2018,NEW YORK,36,32
2018,27/05/2018,NORTH CAROLINA,37,50
2018,27/05/2018,NORTH DAKOTA,38,72
2018,27/05/2018,OHIO,39,67
2018,27/05/2018,OKLAHOMA,40,50
2018,27/05/2018,PENNSYLVANIA,42,36
2018,27/05/2018,SOUTH CAROLINA,45,50
2018,27/05/2018,SOUTH DAKOTA,46,61
2018,27/05/2018,TENNESSEE,47,63
2018,27/05/2018,TEXAS,48,80
2018,27/05/2018,VIRGINIA,51,38
2018,27/05/2018,WEST VIRGINIA,54,46
2018,27/05/2018,WISCONSIN,55,63
2018,03/06/2018,ALABAMA,1,62
2018,03/06/2018,ARKANSAS,5,91
2018,03/06/2018,DELAWARE,10,35
2018,03/06/2018,GEORGIA,13,41
2018,03/06/2018,ILLINOIS,17,94
2018,03/06/2018,INDIANA,18,94
2018,03/06/2018,IOWA,19,93
2018,03/06/2018,KANSAS,20,79
2018,03/06/2018,KENTUCKY,21,65
2018,03/06/2018,LOUISIANA,22,97
2018,03/06/2018,MARYLAND,24,35
2018,03/06/2018,MICHIGAN,26,65
2018,03/06/2018,MINNESOTA,27,93
2018,03/06/2018,MISSISSIPPI,28,92
2018,03/06/2018,MISSOURI,29,85
2018,03/06/2018,NEBRASKA,31,95
2018,03/06/2018,NEW JERSEY,34,42
2018,03/06/2018,NEW YORK,36,61
2018,03/06/2018,NORTH CAROLINA,37,54
2018,03/06/2018,NORTH DAKOTA,38,88
2018,03/06/2018,OHIO,39,81
2018,03/06/2018,OKLAHOMA,40,58
2018,03/06/2018,PENNSYLVANIA,42,61
2018,03/06/2018,SOUTH CAROLINA,45,68
2018,03/06/2018,SOUTH DAKOTA,46,87
2018,03/06/2018,TENNESSEE,47,69
2018,03/06/2018,TEXAS,48,85
2018,03/06/2018,VIRGINIA,51,45
2018,03/06/2018,WEST VIRGINIA,54,58
2018,03/06/2018,WISCONSIN,55,79
2018,10/06/2018,ALABAMA,1,68
2018,10/06/2018,ARKANSAS,5,96
2018,10/06/2018,DELAWARE,10,41
2018,10/06/2018,GEORGIA,13,57
2018,10/06/2018,ILLINOIS,17,96
2018,10/06/2018,INDIANA,18,96
2018,10/06/2018,IOWA,19,98
2018,10/06/2018,KANSAS,20,89
2018,10/06/2018,KENTUCKY,21,76
2018,10/06/2018,LOUISIANA,22,99
2018,10/06/2018,MARYLAND,24,55
2018,10/06/2018,MICHIGAN,26,77
2018,10/06/2018,MINNESOTA,27,98
2018,10/06/2018,MISSISSIPPI,28,96
2018,10/06/2018,MISSOURI,29,90
2018,10/06/2018,NEBRASKA,31,97
2018,10/06/2018,NEW JERSEY,34,55
2018,10/06/2018,NEW YORK,36,81
2018,10/06/2018,NORTH CAROLINA,37,68
2018,10/06/2018,NORTH DAKOTA,38,97
2018,10/06/2018,OHIO,39,90
2018,10/06/2018,OKLAHOMA,40,68
2018,10/06/2018,PENNSYLVANIA,42,70
2018,10/06/2018,SOUTH CAROLINA,45,78
2018,10/06/2018,SOUTH DAKOTA,46,96
2018,10/06/2018,TENNESSEE,47,79
2018,10/06/2018,TEXAS,48,90
2018,10/06/2018,VIRGINIA,51,58
2018,10/06/2018,WEST VIRGINIA,54,60
2018,10/06/2018,WISCONSIN,55,92
2018,17/06/2018,ALABAMA,1,84
2018,17/06/2018,ARKANSAS,5,98
2018,17/06/2018,DELAWARE,10,51
2018,17/06/2018,GEORGIA,13,77
2018,17/06/2018,ILLINOIS,17,100
2018,17/06/2018,INDIANA,18,98
2018,17/06/2018,IOWA,19,99
2018,17/06/2018,KANSAS,20,94
2018,17/06/2018,KENTUCKY,21,86
2018,17/06/2018,LOUISIANA,22,100
2018,17/06/2018,MARYLAND,24,58
2018,17/06/2018,MICHIGAN,26,86
2018,17/06/2018,MINNESOTA,27,99
2018,17/06/2018,MISSISSIPPI,28,98
2018,17/06/2018,MISSOURI,29,94
2018,17/06/2018,NEBRASKA,31,100
2018,17/06/2018,NEW JERSEY,34,73
2018,17/06/2018,NEW YORK,36,89
2018,17/06/2018,NORTH CAROLINA,37,79
2018,17/06/2018,NORTH DAKOTA,38,100
2018,17/06/2018,OHIO,39,95
2018,17/06/2018,OKLAHOMA,40,74
2018,17/06/2018,PENNSYLVANIA,42,81
2018,17/06/2018,SOUTH CAROLINA,45,90
2018,17/06/2018,SOUTH DAKOTA,46,99
2018,17/06/2018,TENNESSEE,47,87
2018,17/06/2018,TEXAS,48,95
2018,17/06/2018,VIRGINIA,51,71
2018,17/06/2018,WEST VIRGINIA,54,70
2018,17/06/2018,WISCONSIN,55,96
2018,24/06/2018,ALABAMA,1,94
2018,24/06/2018,ARKANSAS,5,99
2018,24/06/2018,DELAWARE,10,68
2018,24/06/2018,GEORGIA,13,86
2018,24/06/2018,KANSAS,20,97
2018,24/06/2018,KENTUCKY,21,92
2018,24/06/2018,MARYLAND,24,68
2018,24/06/2018,MICHIGAN,26,92
2018,24/06/2018,MINNESOTA,27,100
2018,24/06/2018,MISSISSIPPI,28,99
2018,24/06/2018,MISSOURI,29,97
2018,24/06/2018,NEW JERSEY,34,77
2018,24/06/2018,NEW YORK,36,93
2018,24/06/2018,NORTH CAROLINA,37,89
2018,24/06/2018,OHIO,39,100
2018,24/06/2018,OKLAHOMA,40,88
2018,24/06/2018,PENNSYLVANIA,42,87
2018,24/06/2018,SOUTH CAROLINA,45,93
2018,24/06/2018,TENNESSEE,47,93
2018,24/06/2018,VIRGINIA,51,77
2018,24/06/2018,WEST VIRGINIA,54,74
2018,01/07/2018,ALABAMA,1,96
2018,01/07/2018,ARKANSAS,5,100
2018,01/07/2018,DELAWARE,10,85
2018,01/07/2018,GEORGIA,13,93
2018,01/07/2018,KENTUCKY,21,96
2018,01/07/2018,MARYLAND,24,71
2018,01/07/2018,MICHIGAN,26,97
2018,01/07/2018,MISSISSIPPI,28,100
2018,01/07/2018,NEW JERSEY,34,84
2018,01/07/2018,NEW YORK,36,96
2018,01/07/2018,NORTH CAROLINA,37,93
2018,01/07/2018,OKLAHOMA,40,93
2018,01/07/2018,PENNSYLVANIA,42,92
2018,01/07/2018,SOUTH CAROLINA,45,93
2018,01/07/2018,TENNESSEE,47,96
2018,01/07/2018,VIRGINIA,51,86
2018,01/07/2018,WEST VIRGINIA,54,77
2018,08/07/2018,DELAWARE,10,96
2018,08/07/2018,GEORGIA,13,95
2018,08/07/2018,MARYLAND,24,82
2018,08/07/2018,MICHIGAN,26,100
2018,08/07/2018,NEW JERSEY,34,92
2018,08/07/2018,NEW YORK,36,98
2018,08/07/2018,NORTH CAROLINA,37,98
2018,08/07/2018,OKLAHOMA,40,99
2018,08/07/2018,PENNSYLVANIA,42,93
2018,08/07/2018,SOUTH CAROLINA,45,96
2018,08/07/2018,VIRGINIA,51,91
2018,08/07/2018,WEST VIRGINIA,54,80
2018,15/07/2018,DELAWARE,10,98
2018,15/07/2018,MARYLAND,24,87
2018,15/07/2018,NEW JERSEY,34,97
2018,15/07/2018,NEW YORK,36,99
2018,15/07/2018,PENNSYLVANIA,42,95
2018,15/07/2018,VIRGINIA,51,96
2018,15/07/2018,WEST VIRGINIA,54,85
2018,22/07/2018,DELAWARE,10,99
2018,22/07/2018,MARYLAND,24,93
2018,22/07/2018,NEW YORK,36,100
2018,22/07/2018,WEST VIRGINIA,54,89
2018,29/07/2018,DELAWARE,10,100
2018,29/07/2018,MARYLAND,24,96
2018,29/07/2018,NEW YORK,36,100
2018,29/07/2018,WEST VIRGINIA,54,95
2018,05/08/2018,MARYLAND,24,100
2017,02/04/2017,ARKANSAS,5,4
2017,02/04/2017,LOUISIANA,22,3
2017,02/04/2017,MISSISSIPPI,28,4
2017,09/04/2017,ARKANSAS,5,12
2017,09/04/2017,LOUISIANA,22,13
2017,09/04/2017,MISSISSIPPI,28,15
2017,16/04/2017,ARKANSAS,5,24
2017,16/04/2017,ILLINOIS,17,0
2017,16/04/2017,LOUISIANA,22,36
2017,16/04/2017,MISSISSIPPI,28,43
2017,16/04/2017,MISSOURI,29,0
2017,16/04/2017,TEXAS,48,8
2017,23/04/2017,ARKANSAS,5,39
2017,23/04/2017,ILLINOIS,17,4
2017,23/04/2017,INDIANA,18,3
2017,23/04/2017,IOWA,19,0
2017,23/04/2017,KANSAS,20,0
2017,23/04/2017,KENTUCKY,21,2
2017,23/04/2017,LOUISIANA,22,59
2017,23/04/2017,MICHIGAN,26,0
2017,23/04/2017,MINNESOTA,27,0
2017,23/04/2017,MISSISSIPPI,28,60
2017,23/04/2017,MISSOURI,29,2
2017,23/04/2017,NEBRASKA,31,4
2017,23/04/2017,NORTH CAROLINA,37,1
2017,23/04/2017,NORTH DAKOTA,38,0
2017,23/04/2017,OHIO,39,1
2017,23/04/2017,OKLAHOMA,40,3
2017,23/04/2017,SOUTH DAKOTA,46,1
2017,23/04/2017,TENNESSEE,47,4
2017,23/04/2017,TEXAS,48,25
2017,23/04/2017,WEST VIRGINIA,54,3
2017,23/04/2017,WISCONSIN,55,0
2017,30/04/2017,ALABAMA,1,2
2017,30/04/2017,ARKANSAS,5,45
2017,30/04/2017,DELAWARE,10,3
2017,30/04/2017,GEORGIA,13,2
2017,30/04/2017,ILLINOIS,17,13
2017,30/04/2017,INDIANA,18,16
2017,30/04/2017,IOWA,19,2
2017,30/04/2017,KANSAS,20,2
2017,30/04/2017,KENTUCKY,21,6
2017,30/04/2017,LOUISIANA,22,66
2017,30/04/2017,MARYLAND,24,1
2017,30/04/2017,MICHIGAN,26,1
2017,30/04/2017,MINNESOTA,27,0
2017,30/04/2017,MISSISSIPPI,28,69
2017,30/04/2017,MISSOURI,29,5
2017,30/04/2017,NEBRASKA,31,8
2017,30/04/2017,NORTH CAROLINA,37,5
2017,30/04/2017,NORTH DAKOTA,38,0
2017,30/04/2017,OHIO,39,14
2017,30/04/2017,OKLAHOMA,40,11
2017,30/04/2017,SOUTH CAROLINA,45,5
2017,30/04/2017,SOUTH DAKOTA,46,2
2017,30/04/2017,TENNESSEE,47,6
2017,30/04/2017,TEXAS,48,45
2017,30/04/2017,VIRGINIA,51,1
2017,30/04/2017,WEST VIRGINIA,54,6
2017,30/04/2017,WISCONSIN,55,0
2017,07/05/2017,ALABAMA,1,20
2017,07/05/2017,ARKANSAS,5,50
2017,07/05/2017,DELAWARE,10,12
2017,07/05/2017,GEORGIA,13,11
2017,07/05/2017,ILLINOIS,17,14
2017,07/05/2017,INDIANA,18,19
2017,07/05/2017,IOWA,19,9
2017,07/05/2017,KANSAS,20,4
2017,07/05/2017,KENTUCKY,21,10
2017,07/05/2017,LOUISIANA,22,76
2017,07/05/2017,MARYLAND,24,7
2017,07/05/2017,MICHIGAN,26,1
2017,07/05/2017,MINNESOTA,27,4
2017,07/05/2017,MISSISSIPPI,28,74
2017,07/05/2017,MISSOURI,29,9
2017,07/05/2017,NEBRASKA,31,13
2017,07/05/2017,NEW YORK,36,0
2017,07/05/2017,NORTH CAROLINA,37,8
2017,07/05/2017,NORTH DAKOTA,38,4
2017,07/05/2017,OHIO,39,16
2017,07/05/2017,OKLAHOMA,40,15
2017,07/05/2017,PENNSYLVANIA,42,1
2017,07/05/2017,SOUTH CAROLINA,45,12
2017,07/05/2017,SOUTH DAKOTA,46,5
2017,07/05/2017,TENNESSEE,47,8
2017,07/05/2017,TEXAS,48,63
2017,07/05/2017,VIRGINIA,51,11
2017,07/05/2017,WEST VIRGINIA,54,14
2017,07/05/2017,WISCONSIN,55,2
2017,14/05/2017,ALABAMA,1,50
2017,14/05/2017,ARKANSAS,5,62
2017,14/05/2017,DELAWARE,10,15
2017,14/05/2017,GEORGIA,13,22
2017,14/05/2017,ILLINOIS,17,23
2017,14/05/2017,INDIANA,18,23
2017,14/05/2017,IOWA,19,40
2017,14/05/2017,KANSAS,20,16
2017,14/05/2017,KENTUCKY,21,18
2017,14/05/2017,LOUISIANA,22,86
2017,14/05/2017,MARYLAND,24,15
2017,14/05/2017,MICHIGAN,26,11
2017,14/05/2017,MINNESOTA,27,47
2017,14/05/2017,MISSISSIPPI,28,81
2017,14/05/2017,MISSOURI,29,24
2017,14/05/2017,NEBRASKA,31,37
2017,14/05/2017,NEW JERSEY,34,2
2017,14/05/2017,NEW YORK,36,0
2017,14/05/2017,NORTH CAROLINA,37,19
2017,14/05/2017,NORTH DAKOTA,38,29
2017,14/05/2017,OHIO,39,19
2017,14/05/2017,OKLAHOMA,40,18
2017,14/05/2017,PENNSYLVANIA,42,9
2017,14/05/2017,SOUTH CAROLINA,45,28
2017,14/05/2017,SOUTH DAKOTA,46,29
2017,14/05/2017,TENNESSEE,47,19
2017,14/05/2017,TEXAS,48,70
2017,14/05/2017,VIRGINIA,51,18
2017,14/05/2017,WEST VIRGINIA,54,18
2017,14/05/2017,WISCONSIN,55,15
2017,21/05/2017,ALABAMA,1,64
2017,21/05/2017,ARKANSAS,5,74
2017,21/05/2017,DELAWARE,10,26
2017,21/05/2017,GEORGIA,13,38
2017,21/05/2017,ILLINOIS,17,48
2017,21/05/2017,INDIANA,18,47
2017,21/05/2017,IOWA,19,62
2017,21/05/2017,KANSAS,20,27
2017,21/05/2017,KENTUCKY,21,34
2017,21/05/2017,LOUISIANA,22,91
2017,21/05/2017,MARYLAND,24,28
2017,21/05/2017,MICHIGAN,26,37
2017,21/05/2017,MINNESOTA,27,72
2017,21/05/2017,MISSISSIPPI,28,86
2017,21/05/2017,MISSOURI,29,42
2017,21/05/2017,NEBRASKA,31,52
2017,21/05/2017,NEW JERSEY,34,31
2017,21/05/2017,NEW YORK,36,6
2017,21/05/2017,NORTH CAROLINA,37,36
2017,21/05/2017,NORTH DAKOTA,38,57
2017,21/05/2017,OHIO,39,43
2017,21/05/2017,OKLAHOMA,40,26
2017,21/05/2017,PENNSYLVANIA,42,34
2017,21/05/2017,SOUTH CAROLINA,45,32
2017,21/05/2017,SOUTH DAKOTA,46,56
2017,21/05/2017,TENNESSEE,47,36
2017,21/05/2017,TEXAS,48,85
2017,21/05/2017,VIRGINIA,51,32
2017,21/05/2017,WEST VIRGINIA,54,45
2017,21/05/2017,WISCONSIN,55,29
2017,28/05/2017,ALABAMA,1,65
2017,28/05/2017,ARKANSAS,5,81
2017,28/05/2017,DELAWARE,10,27
2017,28/05/2017,GEORGIA,13,51
2017,28/05/2017,ILLINOIS,17,62
2017,28/05/2017,INDIANA,18,54
2017,28/05/2017,IOWA,19,77
2017,28/05/2017,KANSAS,20,41
2017,28/05/2017,KENTUCKY,21,45
2017,28/05/2017,LOUISIANA,22,94
2017,28/05/2017,MARYLAND,24,46
2017,28/05/2017,MICHIGAN,26,56
2017,28/05/2017,MINNESOTA,27,81
2017,28/05/2017,MISSISSIPPI,28,89
2017,28/05/2017,MISSOURI,29,54
2017,28/05/2017,NEBRASKA,31,76
2017,28/05/2017,NEW JERSEY,34,42
2017,28/05/2017,NEW YORK,36,16
2017,28/05/2017,NORTH CAROLINA,37,43
2017,28/05/2017,NORTH DAKOTA,38,83
2017,28/05/2017,OHIO,39,54
2017,28/05/2017,OKLAHOMA,40,30
2017,28/05/2017,PENNSYLVANIA,42,47
2017,28/05/2017,SOUTH CAROLINA,45,41
2017,28/05/2017,SOUTH DAKOTA,46,72
2017,28/05/2017,TENNESSEE,47,53
2017,28/05/2017,TEXAS,48,89
2017,28/05/2017,VIRGINIA,51,43
2017,28/05/2017,WEST VIRGINIA,54,50
2017,28/05/2017,WISCONSIN,55,45
2017,04/06/2017,ALABAMA,1,73
2017,04/06/2017,ARKANSAS,5,85
2017,04/06/2017,DELAWARE,10,41
2017,04/06/2017,GEORGIA,13,66
2017,04/06/2017,ILLINOIS,17,85
2017,04/06/2017,INDIANA,18,75
2017,04/06/2017,IOWA,19,91
2017,04/06/2017,KANSAS,20,59
2017,04/06/2017,KENTUCKY,21,60
2017,04/06/2017,LOUISIANA,22,96
2017,04/06/2017,MARYLAND,24,56
2017,04/06/2017,MICHIGAN,26,75
2017,04/06/2017,MINNESOTA,27,94
2017,04/06/2017,MISSISSIPPI,28,92
2017,04/06/2017,MISSOURI,29,71
2017,04/06/2017,NEBRASKA,31,91
2017,04/06/2017,NEW JERSEY,34,60
2017,04/06/2017,NEW YORK,36,23
2017,04/06/2017,NORTH CAROLINA,37,57
2017,04/06/2017,NORTH DAKOTA,38,94
2017,04/06/2017,OHIO,39,74
2017,04/06/2017,OKLAHOMA,40,43
2017,04/06/2017,PENNSYLVANIA,42,62
2017,04/06/2017,SOUTH CAROLINA,45,57
2017,04/06/2017,SOUTH DAKOTA,46,92
2017,04/06/2017,TENNESSEE,47,62
2017,04/06/2017,TEXAS,48,92
2017,04/06/2017,VIRGINIA,51,58
2017,04/06/2017,WEST VIRGINIA,54,65
2017,04/06/2017,WISCONSIN,55,73
2017,11/06/2017,ALABAMA,1,78
2017,11/06/2017,ARKANSAS,5,91
2017,11/06/2017,DELAWARE,10,48
2017,11/06/2017,GEORGIA,13,74
2017,11/06/2017,ILLINOIS,17,93
2017,11/06/2017,INDIANA,18,90
2017,11/06/2017,IOWA,19,98
2017,11/06/2017,KANSAS,20,80
2017,11/06/2017,KENTUCKY,21,73
2017,11/06/2017,LOUISIANA,22,98
2017,11/06/2017,MARYLAND,24,62
2017,11/06/2017,MICHIGAN,26,88
2017,11/06/2017,MINNESOTA,27,99
2017,11/06/2017,MISSISSIPPI,28,95
2017,11/06/2017,MISSOURI,29,85
2017,11/06/2017,NEBRASKA,31,97
2017,11/06/2017,NEW JERSEY,34,79
2017,11/06/2017,NEW YORK,36,50
2017,11/06/2017,NORTH CAROLINA,37,68
2017,11/06/2017,NORTH DAKOTA,38,98
2017,11/06/2017,OHIO,39,90
2017,11/06/2017,OKLAHOMA,40,60
2017,11/06/2017,PENNSYLVANIA,42,77
2017,11/06/2017,SOUTH CAROLINA,45,69
2017,11/06/2017,SOUTH DAKOTA,46,99
2017,11/06/2017,TENNESSEE,47,74
2017,11/06/2017,TEXAS,48,96
2017,11/06/2017,VIRGINIA,51,73
2017,11/06/2017,WEST VIRGINIA,54,76
2017,11/06/2017,WISCONSIN,55,89
2017,18/06/2017,ALABAMA,1,86
2017,18/06/2017,ARKANSAS,5,95
2017,18/06/2017,DELAWARE,10,57
2017,18/06/2017,GEORGIA,13,85
2017,18/06/2017,ILLINOIS,17,97
2017,18/06/2017,INDIANA,18,96
2017,18/06/2017,IOWA,19,99
2017,18/06/2017,KANSAS,20,90
2017,18/06/2017,KENTUCKY,21,87
2017,18/06/2017,LOUISIANA,22,99
2017,18/06/2017,MARYLAND,24,67
2017,18/06/2017,MICHIGAN,26,96
2017,18/06/2017,MINNESOTA,27,100
2017,18/06/2017,MISSISSIPPI,28,97
2017,18/06/2017,MISSOURI,29,92
2017,18/06/2017,NEBRASKA,31,99
2017,18/06/2017,NEW JERSEY,34,83
2017,18/06/2017,NEW YORK,36,68
2017,18/06/2017,NORTH CAROLINA,37,81
2017,18/06/2017,NORTH DAKOTA,38,100
2017,18/06/2017,OHIO,39,96
2017,18/06/2017,OKLAHOMA,40,71
2017,18/06/2017,PENNSYLVANIA,42,86
2017,18/06/2017,SOUTH CAROLINA,45,81
2017,18/06/2017,SOUTH DAKOTA,46,100
2017,18/06/2017,TENNESSEE,47,86
2017,18/06/2017,VIRGINIA,51,81
2017,18/06/2017,WEST VIRGINIA,54,79
2017,18/06/2017,WISCONSIN,55,96
2017,25/06/2017,ALABAMA,1,91
2017,25/06/2017,ARKANSAS,5,98
2017,25/06/2017,DELAWARE,10,66
2017,25/06/2017,GEORGIA,13,89
2017,25/06/2017,INDIANA,18,99
2017,25/06/2017,IOWA,19,100
2017,25/06/2017,KANSAS,20,95
2017,25/06/2017,KENTUCKY,21,94
2017,25/06/2017,LOUISIANA,22,99
2017,25/06/2017,MARYLAND,24,69
2017,25/06/2017,MISSISSIPPI,28,98
2017,25/06/2017,MISSOURI,29,96
2017,25/06/2017,NEW JERSEY,34,88
2017,25/06/2017,NEW YORK,36,76
2017,25/06/2017,NORTH CAROLINA,37,89
2017,25/06/2017,NORTH DAKOTA,38,100
2017,25/06/2017,OKLAHOMA,40,85
2017,25/06/2017,PENNSYLVANIA,42,90
2017,25/06/2017,SOUTH CAROLINA,45,90
2017,25/06/2017,TENNESSEE,47,89
2017,25/06/2017,VIRGINIA,51,86
